config,cut,sigma_nl_mpc,tau_cut_ns,kpar_min_mpc,kpar_min_h_at_z1p16,ttot_hours,sarea_deg2,nzbins,sigma_A,significance,sigma_apar,sigma_aperp
chime2025,hard,7,0,0,0,385,2200,3,0.190298,5.25492,0.0289626,0.0233017
chime2025,hard,7,30,0.035451,0.052661,385,2200,3,0.234323,4.26761,0.0312273,0.0350377
chime2025,hard,7,50,0.059085,0.087768,385,2200,3,0.317936,3.14529,0.0359274,0.0563584
chime2025,hard,7,75,0.088628,0.13165,385,2200,3,0.545547,1.83302,0.048712,0.111182
chime2025,hard,7,100,0.11817,0.17554,385,2200,3,1.08746,0.919573,0.0800942,0.261342
chime2025,hard,7,110,0.12999,0.19309,385,2200,3,1.47145,0.6796,0.105341,0.390871
chime2025,hard,7,125,0.14771,0.21942,385,2200,3,2.55099,0.392004,0.165674,0.761253
chime2025,hard,7,140,0.16544,0.24575,385,2200,3,4.72794,0.211509,0.297578,1.68406
chime2025,hard,7,150,0.17726,0.2633,385,2200,3,7.675,0.130293,0.441927,2.82977
chime2025,hard,7,160,0.18907,0.28086,385,2200,3,12.6699,0.0789273,0.716083,5.00256
chime2025,hard,7,175,0.2068,0.30719,385,2200,3,40.4748,0.0247067,1.84113,17.8967
chime2025,hard,7,200,0.23634,0.35107,385,2200,3,inf,0,inf,inf
chime2025,hard,7,280,0.33088,0.4915,385,2200,3,inf,0,inf,inf
chime2025,hard,7,400,0.47268,0.70214,385,2200,3,inf,0,inf,inf
archive7yr,hard,7,0,0,0,9327.02,31000,15,0.0199249,50.1886,0.0031246,0.00246521
archive7yr,hard,7,30,0.035451,0.052661,9327.02,31000,15,0.0249157,40.1354,0.00340873,0.0039087
archive7yr,hard,7,50,0.059085,0.087768,9327.02,31000,15,0.0323925,30.8714,0.00382436,0.0060153
archive7yr,hard,7,75,0.088628,0.13165,9327.02,31000,15,0.0507498,19.7045,0.0049212,0.0113967
archive7yr,hard,7,100,0.11817,0.17554,9327.02,31000,15,0.0903618,11.0666,0.00739914,0.0248453
archive7yr,hard,7,110,0.12999,0.19309,9327.02,31000,15,0.116726,8.56705,0.00912905,0.0351573
archive7yr,hard,7,125,0.14771,0.21942,9327.02,31000,15,0.180121,5.55184,0.0129447,0.0613847
archive7yr,hard,7,140,0.16544,0.24575,9327.02,31000,15,0.283778,3.52388,0.0195106,0.109836
archive7yr,hard,7,150,0.17726,0.2633,9327.02,31000,15,0.399748,2.50158,0.0260697,0.16666
archive7yr,hard,7,160,0.18907,0.28086,9327.02,31000,15,0.558091,1.79182,0.035981,0.256897
